Unnamed: 0, Funis de Marketing,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MARKETING PROJETADO,,,MARKETING REALIZADO,,,Comercial,,,,,,,,,MKT + COM,,,,,,,,,,,,,,,,
,Data,"Investimento Projetado 
em Distribuiçao","Investimento Projetado 
em Leads",CPL Projetado,Leads novos projetados,Investimento Realizado,CPL Realizado,Leads Novos dia,"ligações Telfonicas únicas no dia
(40 min/SDR) ",Agendamentos realizados no dia,taxa de Agendamento,Agendamentos para o dia,Comparecimentos para dia,Taxa de comaparecimento,Vendas no dia,Faturamento,Taxa de Conversão,"Faturamento total
Efetivo",Faturamento previsto,CAC Total/Dia,,,,,,,,,,,,,,
,2023-01-01 00:00:00,130,700,22,31.81818182,,,12,38,8,0.6666666667,8,4,0.5,1,48000,0.25,,,,,,,,,,,,,,,,,
,2023-01-02 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-03 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-04 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-05 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-06 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-07 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-08 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-09 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-10 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-11 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-12 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-13 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-14 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-15 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-16 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-17 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-18 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-19 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-20 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-21 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-22 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-23 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-24 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-25 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-26 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
,2023-01-27 00:00:00,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
