2️⃣ Gestor de Tráfego - BPOSS,,,,,,,,,,,,,,,,,,
"Cronograma de Onboarding, implementação, controle de métricas e solicitações de pedidos.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Gestor de Tráfego,,,,,,,,,,,,,,,,,,
Name,Pessoas,Subitems,CRONOGRAMA,FERRAMENTA,CAMPANHA,CLASSIFICAÇÃO,COMPLEXIDADE,STATUS,Telefone,E-mail,Monitoramento de Progresso,Controle de tempo,Controle de Tempo,Última atualização,Insira uma foto profissional,Link,Produto,Diretório de Clientes - Mottivme
Acesso da Conta do Google ADS,,,,Google ADS,Todas,Programada,Alta,Pendente,,,,508:01:30,,"Marcos Daniel set 9, 2025 14:42",,,,
Acesso da Conta do Meta ADS,,,,Meta ADS,Todas,Programada,Baixa,Pendente,,,,508:01:30,,"Marcos Daniel set 9, 2025 14:42",,,,
Acesso do Google Analytics,,,,Analytics,Todas,Programada,Baixa,Pendente,,,,508:01:30,,"Marcos Daniel set 9, 2025 14:42",,,,
Acesso do TAG Manager,,,,TAG Manager,Todas,Programada,Baixa,Pendente,,,,508:01:29,,"Marcos Daniel set 9, 2025 14:42",,,,
Acesso Google Meu NegÃ³cio,,,,Google Meu NegÃ³cio,Todas,Programada,Baixa,Pendente,,,,508:01:29,,"Marcos Daniel set 9, 2025 14:42",,,,
Acesso Google Search Console,,,,Search Console,Todas,Programada,Baixa,Pendente,,,,508:01:29,,"Marcos Daniel set 9, 2025 14:42",,,,
Acesso do Site,,,,WordPress,Todas,Programada,Baixa,Pendente,,,,508:01:29,,"Marcos Daniel set 9, 2025 14:42",,,,
Acesso da Hospedagem do Site,,,,Outro,Todas,Programada,Baixa,Pendente,,,,508:01:28,,"Marcos Daniel set 9, 2025 14:42",,,,
QuestionÃ¡rio Inicial,,,2025-05-16,,Todas,Programada,MÃ©dia,ConcluÃ­do,,,,508:01:28,,"Marcos Daniel set 9, 2025 14:42",,,,
ApresentaÃ§Ã£o Persona,,,2025-05-16,Illustrator,Nenhum,Programada,MÃ©dia,Pendente,,,,508:01:27,,"Marcos Daniel set 9, 2025 14:42",,,,
ConfiguraÃ§Ã£o do Google TAG Manager,,,2025-05-16,Tag Manager,Todas,Programada,Alta,Pendente,,,,508:01:27,,"Marcos Daniel set 9, 2025 14:42",,,,
ImplementaÃ§Ã£o da API de ConversÃµes no TAG Manager,,,2025-05-16,TAG Manager,Todas,Programada,Alta,Pendente,,,,508:01:26,,"Marcos Daniel set 9, 2025 14:42",,,,
ConfiguraÃ§Ã£o da Conta de AnÃºncios do Google ADS,,,2025-05-16,Google ADS,Todas,Programada,Alta,Pendente,,,,508:01:26,,"Marcos Daniel set 9, 2025 14:42",,,,
ConfiguraÃ§Ã£o da Conta de AnÃºncios do Meta ADS,,,2025-05-16,Meta ADS,Todas,Programada,Alta,Pendente,,,,508:01:26,,"Marcos Daniel set 9, 2025 14:42",,,,
EstruturaÃ§Ã£o das campanhas no Google ADS,,,2025-05-16,Google ADS,YouTube,Programada,Alta,Pendente,,,,508:01:26,,"Marcos Daniel set 9, 2025 14:42",,,,
EstruturaÃ§Ã£o das campanhas na Meta ADS,,,2025-05-16,Meta ADS,ConversÃ£o,Programada,Alta,Pendente,,,,508:01:25,,"Marcos Daniel set 9, 2025 14:42",,,,
CriaÃ§Ã£o do dashboard das campanhas,,,2025-05-16,Looker Studio,Todas,Programada,Alta,Pendente,,,,508:01:25,,"Marcos Daniel set 9, 2025 14:42",,,,
AdiÃ§Ã£o de Saldo na conta do Google ADS,,,2025-05-16,Google ADS,Rede de Pesquisa,Programada,Baixa,Pendente,,,,508:01:25,,"Marcos Daniel set 9, 2025 14:42",,,,
AdiÃ§Ã£o de Saldo na conta do Meta ADS,,,2025-05-16,Meta ADS,ConversÃ£o,Programada,Baixa,Pendente,,,,508:01:25,,"Marcos Daniel set 9, 2025 14:42",,,,
,,,2025-05-16,,,,,,,,,9652:27:21,,,,,,
,,,,,,,,,,,,,,,,,,
Processos Clientes,,,,,,,,,,,,,,,,,,
Name,Pessoas,Subitems,CRONOGRAMA,FERRAMENTA,CAMPANHA,CLASSIFICAÇÃO,COMPLEXIDADE,STATUS,Telefone,E-mail,Monitoramento de Progresso,Controle de tempo,Controle de Tempo,Última atualização,Insira uma foto profissional,Link,Produto,Diretório de Clientes - Mottivme
,,,,,,,,,,,,,,,,,,
Tarefas,,,,,,,,,,,,,,,,,,
Name,Pessoas,Subitems,CRONOGRAMA,FERRAMENTA,CAMPANHA,CLASSIFICAÇÃO,COMPLEXIDADE,STATUS,Telefone,E-mail,Monitoramento de Progresso,Controle de tempo,Controle de Tempo,Última atualização,Insira uma foto profissional,Link,Produto,Diretório de Clientes - Mottivme
,,,,,,,,,,,,,,,,,,
Tarefas Concluídas,,,,,,,,,,,,,,,,,,
Name,Pessoas,Subitems,CRONOGRAMA,FERRAMENTA,CAMPANHA,CLASSIFICAÇÃO,COMPLEXIDADE,STATUS,Telefone,E-mail,Monitoramento de Progresso,Controle de tempo,Controle de Tempo,Última atualização,Insira uma foto profissional,Link,Produto,Diretório de Clientes - Mottivme
