Tutoriais/ Processos - Mottivados Team,,,,,,,,,,,,,,,,,,,,,,,,
"Cronograma de Onboarding, implementação, controle de métricas e solicitações de pedidos.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Tutoriais e Processos Gerais,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
Primeiras Configurações do CRM 🚀,,,,2. Primeiras Configurações do CRM 🚀 - https://www.loom.com/share/f790fdec59974542ab3c98f6c908505a?sid=20b71861-7db0-4056-a8f1-c92e9885faed,,,,,Concluído,Mentorfy,,,100%,,,,"Marcos Daniel abr 17, 2025 14:08",,,,,,,8874737618
Como acessar links do One Password 🔗,,,,Como acessar links do One Password 🔗 - https://www.loom.com/share/8b7c126aa0784250864420952dd6a9aa?sid=c0085051-5e3b-480b-b12e-b2e8c34dda0f,,,,,Concluído,Mentorfy,,,100%,,Todos,,"Marcos Daniel abr 17, 2025 14:11",,,,,,,8874613392
Como Criar Filtros no Chats do CRM - Parte 1  📊,,,,Como Criar Filtros no Chats do CRM - Parte 1 - https://www.loom.com/share/c7eed6793c24484ab795649f451b374b?sid=e8ead466-2dc4-4f4a-b585-d0b1d6e44f5d,,,,,Concluído,Mentorfy,,,100%,,Social Seller,,"Marcos Daniel abr 17, 2025 14:08",,,,,,,8880985052
Criando filtros na Pipeline,,,,Criando Filtros na Pipeline 🚀 - https://www.loom.com/share/8d9ad5753c6e4c5db9b2b0aa26f7e4f1?sid=774f4fcd-bb19-4bd4-84ba-1a908363e8e0,,,,,Concluído,Mentorfy,,,100%,,Social Seller,,"Marcos Daniel abr 17, 2025 14:16",,,,,,,8886311562
Como Criar Filtros no Chats do CRM - Parte 2  📊,,,,Criando Filtros no Chats - Parte 2 📊 - https://www.loom.com/share/bc11c75738374a5cb520ef20703502ed?sid=77ccd0d0-4ff9-40d7-b6ab-b533169189bc,,,,,Concluído,Mentorfy,,,100%,,Social Seller,,"Marcos Daniel abr 17, 2025 14:08",,,,,,,8881020591
Objetivos da Etapa FUP- [RESP1] e Etapa 2,,,,Objetivos da etapa 0 na prática - BPOSS - https://www.loom.com/share/039e43c78dcd4255bf0d71f0b28fbf9e?sid=fa48e2ee-3ff9-4a13-9623-d32b9af89a4e,,,,,Concluído,Mentorfy,,,100%,,Social Seller,,"Marcos Daniel abr 17, 2025 14:20",,,,,,,8886641456
Objetivo da etapa 1 - follow up,,,,Objetivo do follow up na etapa 1 - https://www.loom.com/share/21b478bb8cf84afea93d3839fb33e00f?sid=5a0837fa-ef84-43f9-a530-b15b4e12a5a9,,,,,Concluído,Mentorfy,,,100%,,Social Seller,,"Marcos Daniel abr 17, 2025 14:21",,,,,,,8901461180
Objetivos da etapa fup 2 na prática,,,,Objetivos da Etapa FUP2 e 3 - https://www.loom.com/share/be488d1ade2f469fbe04b814f8a20cc2?sid=35824b5c-9d81-4715-909f-506ddeae42c0,,,,,Concluído,Youtube,,,100%,,,,"Marcos Daniel abr 17, 2025 14:34",,,,,,,8901477615
Objetivos da etapa fup 3 na prática,,,,"Objetivos da Etapa FUP3, ETAPA 4 e FUP4 - https://www.loom.com/share/0e2d5df5cbf046f4a040226f2f1058a1?sid=fed17673-ad97-4c5a-bc78-b9f5422c31b6",,,,,Concluído,Youtube,,,100%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8901478497
Objetivos da etapa fup 4 na prática,,,,"Objetivos da Etapa FUP3, ETAPA 4 e FUP4 - https://www.loom.com/share/0e2d5df5cbf046f4a040226f2f1058a1?sid=fed17673-ad97-4c5a-bc78-b9f5422c31b6",,,,,Concluído,Youtube,,,100%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8901479217
Objetivos das Etapas do FUnil,,,,Objetivos das Etapas do Funil - https://www.loom.com/share/fb32c67cbf3d4264850fdab3fd2aef93?sid=5f90901e-820b-4b71-9899-8660fb6d4fed,,,,,Concluído,Mentorfy,,,100%,,Social Seller,,"Marcos Daniel abr 17, 2025 14:35",,,,,,,8886315090
Rotina do Social Seller 1,,,,Rotina do Social Seller 1 - https://www.loom.com/share/fdf75253ee214a6483a7be321596c44f?sid=0d085dd5-71d1-403e-9763-7d55c08b0d9a,Google Docs - https://docs.google.com/spreadsheets/d/1CA22tPxmvLhFF3v2Bkkhcb8HKP0L2KJMU141EG3ihzc/edit?gid=1960642417#gid=1960642417,,,,,,,,0%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8902070145
OnBoarding mottivme 100%,,,,,4. Onboarding 100% MTVM - https://mottivme.monday.com/boards/6535659397/views/142392571,,,,,,,,0%,,Todos,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8810126078
Como identificar leads do tráfego,,,,,,,,,,,,,0%,,"CS, Gestor de Automações, Gestor de Operações BPO, Supervisor de SDR",,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8814153668
Tutorial de como criar perfil no google para vizualizar o drive e o google agenda do time.,,,,,,,,,,,,,0%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8818427877
Play Book e Processos - Mottivme Sales Team,,Play Book e Processos - Mottivme Sales Team,,,Play Book e Processos - Mottivme Sales Team - https://docs.google.com/document/d/1H93QYSJjvCKCRLPZgGQ6y4-Z6Rd5IT1-nL_SgfR13rg/edit?tab=t.hywhxhr1e9ah#heading=h.pcr4gujqyoh0,,,,,,,,0%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8858992610
Manual de Conduta,,Manual de Conduta,,,▶️ Manual de Conduta - https://docs.google.com/document/d/1H93QYSJjvCKCRLPZgGQ6y4-Z6Rd5IT1-nL_SgfR13rg/edit?tab=t.l6rsh8770qqa,,,,,,,,0%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8859004794
GPS,,GPS,,,- By Mottivme Sales -  ULTIMATE GUIDE -   GPS  GUIA PARA O SUCESSO - https://docs.google.com/document/d/1H93QYSJjvCKCRLPZgGQ6y4-Z6Rd5IT1-nL_SgfR13rg/edit?tab=t.hywhxhr1e9ah,,,,,,,,0%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8859009658
Objetivo da etapa 2 - follow up,,,,,,,,,Em Progresso,,,,0%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8901480219
Objetivo da etapa 3 - follow up,,,,,,,,,Em Progresso,,,,0%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8901480375
Objetivo da etapa 4 - follow up,,,,,,,,,Em Progresso,,,,0%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8901480522
Objetivo na etapa fup 4 - follow up,,,,,,,,,Em Progresso,,,,0%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8901480778
Rotina doSocial Seller 2,,,,,Google Docs - https://docs.google.com/spreadsheets/d/1CA22tPxmvLhFF3v2Bkkhcb8HKP0L2KJMU141EG3ihzc/edit?gid=1960642417#gid=1960642417,,,,,,,,0%,,,,"Marcos Daniel abr 17, 2025 14:09",,,,,,,8902120804
