0. CRONOGRAMA DE LANÇAMENTOS;;;;;;;;;;;;;;
FASE 00 POSICIONAMENTO [DEFINIR ATUAÇÃO - AMBOS];;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status do Lançador;Cronograma - Start;Cronograma - End;Status do Expert;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;Item ID (auto generated)
ESPECIALISTA;Username massa,Criar conteúdo,Estar em movimento,Jogar o jogo da sedução,Não espere um lançador - Rode um MVP;;Concluído;;;Concluído;;;;100%;;;;5121459578
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Username massa;;;;;;Concluído;;5121459815;;;;;
;Criar conteúdo;;;;;;Concluído;;5121459824;;;;;
;Estar em movimento;;;;;;;;5121459829;;;;;
;Jogar o jogo da sedução;;;;;;;;5121459833;;;;;
;Não espere um lançador - Rode um MVP;;;;;;;;5121459840;;;;;
LANÇADOR;Passar imagem profissional: fotos adequadas, bio explicativa,Fotos trabalhando, em reuniões de negócio,5 posts de conteúdo,2 Posts em evento,Se tiver, mostrar os cases de sucesso,Domínio e e-mail profissiona;;;;;;;;;0%;;;;5121459589
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Passar imagem profissional: fotos adequadas, bio explicativa;;;;;;;;5121459848;;;;;
;Fotos trabalhando, em reuniões de negócio;;;;;;;;5121459854;;;;;
;5 posts de conteúdo;;;;;;;;5121459861;;;;;
;2 Posts em evento;;;;;;;;5121459867;;;;;
;Se tiver, mostrar os cases de sucesso;;;;;;;;5121459875;;;;;
;Domínio e e-mail profissiona;;;;;;;;5121459880;;;;;
ABORDAGEM [LANÇADOR ABORDANDO EXPERT] ESTUDO DO ESPECIALISTA;• Identificar o que o move (dinheiro,,fama, família, reconhecimento),• Identificar se já lançou, o nível de,conhecimento de lançamento,• Análise de erros (pixel, página, rede social, promessa e etc),• Procurar a melhor forma: pessoalmente, através,de uma ponte - conhecido, amigo em comum - ou,online. Preferencialmente direct ou email.,• Abordagem: tentar criar rapport, pontos em comum,,identificação. Explique o que você faz, os seus melhores números,,os melhores números do mercado na área dele dentro do digital, e,como você vê o futuro dos dois, em curto, médio e longo prazo (3,meses, 1 ano, 2 anos;;;;;;;;;0%;;;;5121459601
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;• Identificar o que o move (dinheiro,;;;;;;;;5121459889;;;;;
;fama, família, reconhecimento);;;;;;;;5121459896;;;;;
;• Identificar se já lançou, o nível de;;;;;;;;5121459907;;;;;
;conhecimento de lançamento;;;;;;;;5121459916;;;;;
