Tutoriais do Processo Gestor de ATM - BPOSS - [GESTOR],,,,,,,,,,,,,
"Cronograma de Onboarding, implementação, controle de métricas e solicitações de pedidos.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Gestor de Automações,,,,,,,,,,,,,
Name,Pessoas,Link com Tutoriais,Subitems,Cronograma - Start,Cronograma - End,Status do Progresso,Monitoramento de Progresso,"Sugestões, critícas e elogios",Responsável,Última atualização,Tutoriais/ Processos - Mottivados Team,Espelho,Item ID (auto generated)
Atualização de conta antiga ou criação de conta no CRM para novos Mottivados,,Alteração de Contato de Colaborador 🛠️ - https://www.loom.com/share/2c5f5c8efdf44ba1aed102734142275e?sid=e3f7a288-1432-4393-92fe-41530f3d5dc8,,,,,0%,,,"Marcos Daniel jun 1, 2025 10:35",,,9262986891
"Compra, integração e criação da agendafy do usuário",,Aprenda a criar sua conta na Agendafy✨ - https://www.loom.com/share/3ab31a1554b841f6b3aac72bbb68d5bd?sid=5ddd99b5-3656-4e57-8636-f0d8585ba66f,"Definir com o cliente os dias e horários disponíveis para agendamento,Integração,Ciação de agendas,Configuração das agendas,Como pegar o nome da agenda e o eventid do cliente na agendafy",,,Concluído,100%,,Gestor de Automações,"Marcos Daniel jul 16, 2025 11:20",,,9262986912
Subitems,Name,Owner,Status,Date,Link com Tutoriais,Item ID (auto generated),,,,,,,
,Definir com o cliente os dias e horários disponíveis para agendamento,,,,,9262987192,,,,,,,
,Integração,,,,,9262987045,,,,,,,
,Ciação de agendas,,,,,9262987093,,,,,,,
,Configuração das agendas,,,,,9262987134,,,,,,,
,Como pegar o nome da agenda e o eventid do cliente na agendafy,,,,Como pegar o nome da agenda e o eventid do cliente na agendafy - https://www.loom.com/share/7b77cebfc2204aa4a956a4cf5fe64303?sid=08911697-f0f1-4260-8655-8396fa0c693e,9602520209,,,,,,,
Automação Poderosa para envio de áudio de forma segmenta Leads e personalizada para o seu lead,,Automação Poderosa para Leads 🚀 - https://www.loom.com/share/f25572b105724db69e5c1be563a7038f?sid=cabc70f4-10e0-4f1c-acf2-31c13c849ef5,,,,Concluído,100%,,,"Marcos Daniel jun 1, 2025 10:35",,,9262986961
Criação de conta como Usuário do CRM para acompanhar o bpo social selling  e gerir o fluxo comercial,,Como cadastrar um novo usuário no CRM? 😊 * - https://www.loom.com/share/3ac7b2f0f2d44b8c97278dcee8ee3697?sid=bd9dffd2-895e-439c-a255-5d1b31926f28,Como pegar o ID do novo cliente no CRM para inserir no agente de IA,,,Concluído,100%,,Gestor de Automações,"Marcos Daniel jul 16, 2025 11:22",,,9262986534
Subitems,Name,Owner,Status,Date,Link com Tutoriais,Item ID (auto generated),,,,,,,
,Como pegar o ID do novo cliente no CRM para inserir no agente de IA,,,,Como pegar o ID do novo cliente no CRM para inserir no agente de IA - https://www.loom.com/share/7e445934234b439ab6fd5f2e2a735aa3?sid=734d9545-aad7-49fa-bd3a-78c9801c4f61,9602537710,,,,,,,
Equipes e Grupos de Equipes,,Como configurar Equipes e Grupos de Equipes --&gt; [gestor] - https://www.loom.com/share/3ac7b2f0f2d44b8c97278dcee8ee3697?sid=85b1cbe0-7344-42f3-8715-0fb315987693,,,,Concluído,100%,,Gestor de Automações,"Marcos Daniel mai 29, 2025 19:03",,,9262986566
