1. Cronograma - Mentoria Estrategista Empresarial [Base];;;;;;;;;;;;;;;
Boas Vindas;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
Kickoff do Projeto;;Marcos Daniel;Aguardando;2022-12-16;2022-12-16;Aguardando;1;;;0%;;;;;4855449447
;;;;2022-12-16;2022-12-16;;1;;00:00:00;0%;;;;;
;;;;;;;;;;;;;;;
Iniciando meu Projeto;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
Descompactando Arquivos;;Marcos Daniel;Concluído;2023-12-16;2023-12-22;Aguardando;7;;;100%;;;;;4855449512
Quem será seu mentor?;;Marcos Daniel;Concluído;2023-12-16;2023-12-22;Concluído;7;;;100%;;;;;4855449454
Definição da Equipe de Gestão;;Marcos Daniel;Aguardando;2023-12-16;2023-12-22;Aguardando;7;;;0%;;;;;4855449466
Apresentação da Equipe de Gestão;;Marcos Daniel;Aguardando;2023-12-22;2023-12-28;Aguardando;7;;;0%;;;;;4855449484
Comprometimento com o Processo;;Marcos Daniel;Aguardando;2023-12-22;2023-12-28;Aguardando;7;;;0%;;;;;4855449486
Conexão com o Empresário;;Marcos Daniel;Aguardando;2023-12-22;2023-12-28;Aguardando;7;;;0%;;;;;4855449493
Alinhamento de expectativa;;Marcos Daniel;Aguardando;2023-12-22;2023-12-28;Aguardando;7;;;0%;;;;;4855449477
Concluindo a Fase - Checkpoint;;Marcos Daniel;Aguardando;2023-12-22;2023-12-28;Aguardando;7;;;0%;;;;;4855449490
;;;;2023-12-16;2023-12-28;;8;;00:00:00;25%;;;;;
;;;;;;;;;;;;;;;
Kick Off do CEO - Introdução ao Processo;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
Introdução Sobre Processos;Ferramenta Siga o Fluxo,O que são Indicadores,Como medir resultados;Marcos Daniel;Aguardando;2022-12-19;2022-12-19;Aguardando;1;;;0%;;;;;4855449496
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Item ID (auto generated);;;;;;;
;Ferramenta Siga o Fluxo;;Concluído;;;;;4855449564;;;;;;;
;O que são Indicadores;;Concluído;;;;;4855449567;;;;;;;
;Como medir resultados;;Concluído;;;;;4855449569;;;;;;;
Introdução sobre Gestão e Liderança;Qual a diferença entre Gestão e Liderança,Em que momento ser Gestor,Em que momento ser Líder,O que é Meta SMART;Marcos Daniel;Aguardando;2022-12-19;2022-12-19;Aguardando;1;;;0%;;;;;4855449499
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Item ID (auto generated);;;;;;;
;Qual a diferença entre Gestão e Liderança;;Concluído;2022-12-16;2022-12-16;1;;4855449570;;;;;;;
;Em que momento ser Gestor;;Concluído;2022-12-16;2022-12-16;1;;4855449574;;;;;;;
;Em que momento ser Líder;;Concluído;2022-12-16;2022-12-16;1;;4855449578;;;;;;;
;O que é Meta SMART;;;2022-12-16;2022-12-16;1;;4855449588;;;;;;;
A importância da Tecnologia no seu negócio;Orientação sobre ERP,Orientação sobre CRM,Google Agenda,Mapas Mentais,Softwares de Gestão de Tarefas;Marcos Daniel;Aguardando;2022-12-19;2022-12-19;Aguardando;1;;;0%;;;;;4855449501
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Item ID (auto generated);;;;;;;
;Orientação sobre ERP;;;;;;;4855449549;;;;;;;
;Orientação sobre CRM;;;;;;;4855449551;;;;;;;
;Google Agenda;;;;;;;4855449554;;;;;;;
;Mapas Mentais;;;;;;;4855449556;;;;;;;
;Softwares de Gestão de Tarefas;;;;;;;4855449559;;;;;;;
Introdução sobre Cultura;O que é cultura Empresarial,Qual a importância de construir a cultura Empresarial da sua empresa;Marcos Daniel;Aguardando;2022-12-19;2022-12-19;Aguardando;1;;;0%;;;;;4855449510
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Item ID (auto generated);;;;;;;
;O que é cultura Empresarial;;Concluído;2022-12-16;2022-12-16;1;;4855449593;;;;;;;
;Qual a importância de construir a cultura Empresarial da sua empresa;;Concluído;2022-12-16;2022-12-16;1;;4855449596;;;;;;;
;;;;2022-12-19;2022-12-19;;4;;00:00:00;0%;;;;;
;;;;;;;;;;;;;;;
Mentalidade Empresarial;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
Mentalidade Empresarial;Palavras significativas;Marcos Daniel;Aguardando;2022-12-10;2022-12-16;Aguardando;7;;;0%;;;;;4855449489
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Item ID (auto generated);;;;;;;
;Palavras significativas;;;;;;;4855449532;;;;;;;
Alinhando vida Pessoal e Profissional;Roda da Vida,Abrindo espaço livre,Método DRD;Marcos Daniel;Aguardando;2022-12-10;2022-12-16;Aguardando;7;;;0%;;;;;4855449446
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Item ID (auto generated);;;;;;;
;Roda da Vida;;;;;;;4855449534;;;;;;;
;Abrindo espaço livre;;;;;;;4855449538;;;;;;;
;Método DRD;;;;;;;4855449541;;;;;;;
Perfil Comportamental;;Marcos Daniel;Aguardando;2022-12-17;2022-12-23;Aguardando;7;;;0%;;;;;4855449525
Autorresponsabilidade;;Marcos Daniel;Aguardando;2022-12-17;2022-12-23;Aguardando;7;;;0%;;;;;4855449528
Concluindo a Fase - Checkpoint;;Marcos Daniel;Aguardando;2022-12-24;2022-12-24;Aguardando;1;;;0%;;;;;4855449457
;;;;2022-12-10;2022-12-24;;5;;00:00:00;0%;;;;;
;;;;;;;;;;;;;;;
Levantamentos e Diagnósticos Estratégicos;;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status da Mentoria;Cronograma - Start;Cronograma - End;Status do Aluno;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;monday Doc;Item ID (auto generated)
