;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Item;Importância;Intensidade;Tendência;Pontuação;;;;;;;;;;;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;;;;;;;;;
;;Ex.: A marca é reconhecida no mercado;Ex.: Importante;Ex.: Média;Ex.: Mantém;Ex.: 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;https://docs.google.com/spreadsheets/d/1f9MFeH5SpbZmcnFBwogL9F4Weq1909FWRwSJJF5Oljg/edit?usp=sharing;Totalmente importante;Muito fraca;Piora muito;125;;;;;0,00019;125;Processos (Falha na execução dos processos, Falta de treinamento, Gestão dos Processo de entrega do serviço, Cultura não está bem definida, Falta de plano de desenvolvimento do colaborador);125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Processos (Falha na execução dos processos, Falta de treinamento, Gestão dos Processo de entrega do serviço, Cultura não está bem definida, Falta de plano de desenvolvimento do colaborador);Totalmente importante;Muito fraca;Piora muito;125;;Sem importância;1;;0,00018;125;Gestão de entrega dos processos de CS;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gestão de entrega dos processos de CS;Totalmente importante;Muito fraca;Piora muito;125;;Pouco importante;2;;0,00017;125;Marketing (Falta de posicionamento nas redes sociais, Funis de Marketing, Falta de Investimento em Tráfego Pago para a própria Empresa;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Marketing (Falta de posicionamento nas redes sociais, Funis de Marketing, Falta de Investimento em Tráfego Pago para a própria Empresa;Totalmente importante;Muito fraca;Piora muito;125;;Importante;3;;0,00016;125;Comercial (Falta de Prospecção de Clientes para a própria Empresa, Apresentação Comercial, Não ter Portfólio de Produtos para ofertar);125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Comercial (Falta de Prospecção de Clientes para a própria Empresa, Apresentação Comercial, Não ter Portfólio de Produtos para ofertar);Totalmente importante;Muito fraca;Piora muito;125;;Muito importante;4;;0,00015;125;Não ter site institucional;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Não ter site institucional;Importante;Média;Mantém;27;;Totalmente importante;5;;0,00014;27;Falta de Clareza do Perfil de Cliente Ideal;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Falta de Clareza do Perfil de Cliente Ideal;Totalmente importante;Muito fraca;Piora muito;125;;;;;0,00013;125;Falta de Definição de Metas de Faturamento;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Falta de Definição de Metas de Faturamento;Totalmente importante;Muito fraca;Piora muito;125;;Intensidade;;;0,00012;125;Não ter funcionários que falem inglês;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Não ter funcionários que falem inglês;Importante;Muito fraca;Mantém;45;;;;;0,00011;45;#REF!;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;A diretoria não falar inglês;Totalmente importante;Muito fraca;Piora muito;125;;Muito forte;1;;0,0001;125;A diretoria não falar inglês;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Não ter um fluxo de caixa estruturado;Totalmente importante;Muito fraca;Piora muito;125;;Forte;2;;0,00009;125;Não ter um fluxo de caixa estruturado;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Não ter definição de Pro-Labores ;Totalmente importante;Muito fraca;Piora muito;125;;Média;3;;0,00008;125;Não ter definição de Pro-Labores ;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Sem importância;Muito forte;Melhora muito;1;;Fraca;4;;0,00007;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Sem importância;Muito forte;Melhora muito;1;;Muito fraca;5;;0,00006;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Sem importância;Muito forte;Melhora muito;1;;;;;0,00005;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Sem importância;Muito forte;Melhora muito;1;;Tendência;;;0,00004;1;https://docs.google.com/spreadsheets/d/1f9MFeH5SpbZmcnFBwogL9F4Weq1909FWRwSJJF5Oljg/edit?usp=sharing;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Sem importância;Muito forte;Melhora muito;1;;;;;0,00003;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Sem importância;Muito forte;Melhora muito;1;;Melhora muito;1;;0,00002;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Sem importância;Muito forte;Melhora muito;1;;Melhora;2;;0,00001;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Pontuação geral das suas Fraquezas;;;→;1329;;Mantém;3;;;;Pontuação geral das suas Fraquezas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Piora;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Piora muito;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
