;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Salário base;;região;;;Canal de Aquisição;;;Setor da empresa;;;Ticket Médio;;;Senioridade;;;% Variável do Salário Fixo;;Regime de contratação;
1600;;Sudeste;1;;Inbound Sales;0,9;;Tecnologia, Software, Finanças, Consultoria;1;;Até R$ 600,00;0,7;;Junior;0,7;;20%;;CLT;1
;;Centro-Oeste;0,9;;Outbound Sales;1;;Demais Setores (Indústria, Serviço etc);0,8;;R$ 601,00 - R$ 1.500,00;0,8;;Pleno ;1;;30%;;PJ;1,2
;;Sul;0,9;;;;;;;;R$ 1.501,00 - R$ 2.500,00;0,9;;Senior;1,3;;40%;;;
;;Norte;0,8;;;;;;;;R$ 2.501,00 - R$ 5.000,00;1;;;;;50%;;;
;;Nordeste;0,8;;;;;;;;R$ 5.001,00 - R$ 10.000,00;1;;;;;70%;;;
;;;;;;;;;;;Acima de R$ 10.000,00;1;;;;;100%;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;SQL;110%;;;;;;;;;;;;;
;;;;;R$ 12,00;0,00%;74,98%;FALSO;;;;;;;;;;;;
;;;;;R$ 15,00;75%;100%;FALSO;;;;;;;;;;;;
;;;;;R$ 18,00;100,01%;120%;VERDADEIRO;;;;;;;;;;;;
;;;;;R$ 22,50;120,10%;10000000%;FALSO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;SAL;100%;;;;;;;;;;;;;
;;;;;R$ 33,60;0,00%;74,99%;FALSO;;;;;;;;;;;;
;;;;;R$ 42,00;75,00%;100,00%;VERDADEIRO;;;;;;;;;;;;
;;;;;R$ 50,40;100,01%;120,00%;FALSO;;;;;;;;;;;;
;;Bonificação;;;R$ 63,00;120,10%;10000000,00%;FALSO;;;;;;;;;;;;
;;20%;;;;;;;;;;;;;;;;;;
;;30%;;;;;;;;;;;;;;;;;;
;;40%;;;;;;;;;;;;;;;;;;
;;50%;;;;;;;;;;;;;;;;;;
;;70%;;;;;;;;;;;;;;;;;;
;;100%;;;;;;;;;;;;;;;;;;
