;;;;;;FLUXO OTB;;;;;;;;;;;;TICKET MÉDIO;CUSTO POR LEAD;CUSTO POR REUNIÃO AGENDADA;CUSTO POR AQUISIÇÃO DE CLIENTE;RETORNO SOBRE O INVESTIMENTO;FLUXO NS (Novo Seguidor);;;;FLUXO PA (Prospeção Ativa);;;;;;;;;;;
DIA;MÊS;ANO;INVESTIMENTO;PROSPECTADOS;CONVERSÃO PROSPECTADOS/LEADS GERADOS;ATIVADOS;CONVERSÃO ATIVADOS/CONDUZINDO;CONDUZINDO ;CONVERSÃO DE LEADS GENDADOS/ ATIVADOS;AGENDADOS;CONVERSÃO AGENDADOS/NÃO REALIZADOS;CALLS NÃO REALIZADAS/ REAGENDAMENTO;CALLS REALIZADAS/AGENDADAS;CALLS REALIZADAS;CONVERSÃO VENDA;VENDAS REALIZADAS;FATURAMENTO;TICKET MÉDIO;CPL;CPRA;CPA;ROI;ATIVADOS;CONDUZIDOS;AGENDADO;ONG;ATIVADOS;CONDUZIDOS;AGENDADO;ONG;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1;2024;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
