;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;PERSPECTIVA;Nº;OBJETIVO;RESPONSÁVEL;2024;CONDIÇÃO;RESULTADO;jan.-25;fev.-25;mar.-25;abr.-25;mai.-25;jun.-25;jul.-25;ago.-25;set.-25;out.-25;nov.-25;dez.-25;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;FINANÇAS;1;Terceirização de SDR;;META;SOMA;272160;R$ 22.680;R$ 22.680;R$ 22.680;R$ 22.680;R$ 22.680;R$ 22.680;R$ 22.680;R$ 22.680;R$ 22.680;R$ 22.680;R$ 22.680;R$ 22.680;;;;;;
;;;;;REALIZADO;SOMA;0;;;;;;;;;;;;;;;;;;
;;2;Terceirização de Social Selling;;META;SOMA;362880;R$ 30.240;R$ 30.240;R$ 30.240;R$ 30.240;R$ 30.240;R$ 30.240;R$ 30.240;R$ 30.240;R$ 30.240;R$ 30.240;R$ 30.240;R$ 30.240;;;;;;
;;;;;REALIZADO;SOMA;0;;;;;;;;;;;;;;;;;;
;;3;Terceirização de SDR + Social Selling + Tráfego para Social Selling;;META;SOMA;635040;R$ 52.920;R$ 52.920;R$ 52.920;R$ 52.920;R$ 52.920;R$ 52.920;R$ 52.920;R$ 52.920;R$ 52.920;R$ 52.920;R$ 52.920;R$ 52.920;;;;;;
;;;;;REALIZADO;SOMA;0;;;;;;;;;;;;;;;;;;
;;4;Terceirização de SDR + Social Selling + Tráfego para Social Selling + Tráfego para SDR;;META;SOMA;907200;R$ 75.600;R$ 75.600;R$ 75.600;R$ 75.600;R$ 75.600;R$ 75.600;R$ 75.600;R$ 75.600;R$ 75.600;R$ 75.600;R$ 75.600;R$ 75.600;;;;;;
;;;;;REALIZADO;SOMA;0;;;;;;;;;;;;;;;;;;
;;5;Agentes IA - SDR;;META;SOMA;604800;R$ 50.400;R$ 50.400;R$ 50.400;R$ 50.400;R$ 50.400;R$ 50.400;R$ 50.400;R$ 50.400;R$ 50.400;R$ 50.400;R$ 50.400;R$ 50.400;;;;;;
;;;;;REALIZADO;SOMA;0;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;CLIENTES;1;Quantidade de clientes com respostas do NPS;;META;SOMA;67;0;0;0;0;0;0;0;17;17;17;17;0;;;;;;
;;;;;REALIZADO;SOMA;0;;;;;;;;;;;;;;;;;;
;;2;Quantidade de clientes promotores;;META;SOMA;67;0;0;0;0;0;0;0;17;17;17;17;0;;;;;;
;;;;;REALIZADO;SOMA;0;;;;;;;;;;;;;;;;;;
;;3;Indicações de clientes promotores ;;META;SOMA;50;0;0;0;0;0;0;0;17;17;17;0;0;;;;;;
;;;;;REALIZADO;SOMA;0;;;;;;;;;;;;;;;;;;
;;4;;;META;SOMA;67;0;0;0;0;0;0;0;17;17;17;17;0;;;;;;
;;;;;REALIZADO;SOMA;0;;;;;;;;;;;;;;;;;;
;;5;;;META;SOMA;0;;;;;;;;;;;;;;;;;;
;;;;;REALIZADO;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;PROCESSOS INTERNOS;1;Definir responsabilidades de cada setor e de cada colaborador ;;META;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;REALIZADO;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;2;Ter mapeado todos os processos de cada função na empresa;;META;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;REALIZADO;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;3;Bonificação semestral;;META;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;REALIZADO;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;4;Processos de Endomarketing ;;META;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;REALIZADO;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;5;Estruturar o Processo Comercial ;;META;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;REALIZADO;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;;SOMA;;;;;;;;;;;;;;;;;;;
;APRENDIZADO E CRESCIMENTO;1;;;META;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;REALIZADO;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;2;;;META;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;REALIZADO;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;3;;;META;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;REALIZADO;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;4;;;META;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;REALIZADO;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;5;;;META;SOMA;0.000;;;;;;;;;;;;;;;;;;
;;;;;REALIZADO;SOMA;0.000;;;;;;;;;;;;;;;;;;
